bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number	analyte_type_id	bcr_analyte_uuid
TCGA-A1-A0SE-10A	TCGA-A1-A0SE-10A-03W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	A2466E54-CB34-4FC3-A4EB-A70A9549F771
TCGA-A1-A0SE-10A	TCGA-A1-A0SE-10A-03X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	04F4F04A-8CD0-478E-B9AD-32171B814C3D
TCGA-A1-A0SF-01A	TCGA-A1-A0SF-01A-11D	1.92	31.86	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	788a9502-3f61-4832-81cf-74cc4eff5172
TCGA-A1-A0SF-01A	TCGA-A1-A0SF-01A-11R	1.79	16.17	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	19089e19-47c4-48af-85ca-82a5957fcc86
TCGA-A1-A0SF-01A	TCGA-A1-A0SF-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	9EDE389F-5090-4A78-B211-149222E28D9B
TCGA-A1-A0SF-10B	TCGA-A1-A0SF-10B-01D	1.87	25.70	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	95fc9854-59a0-4cd2-a406-41380de64442
TCGA-A1-A0SF-10B	TCGA-A1-A0SF-10B-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	251EE0C3-9F67-47EC-9FAE-17504421769E
TCGA-A1-A0SG-01A	TCGA-A1-A0SG-01A-11D	1.87	39.13	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	1c89804c-94b3-47dc-9f60-bf8ae302ad55
TCGA-A1-A0SG-01A	TCGA-A1-A0SG-01A-11R	2.06	29.18	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	444f240d-6295-4f4a-880d-b4e0398fcc4e
TCGA-A1-A0SG-01A	TCGA-A1-A0SG-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	11041986-2F8C-40D5-82A9-BD6C8740F1B4
TCGA-A1-A0SG-10B	TCGA-A1-A0SG-10B-01D	1.83	10.78	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	f347d75d-83b7-4078-9e56-36d1c3fdd585
TCGA-A1-A0SG-10B	TCGA-A1-A0SG-10B-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	8869C12E-F906-4A56-838F-6FDE19E32CB1
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-11D	2.05	41.65	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	b864b721-c186-4609-8197-e8ce8e56fc5c
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-11R	1.96	46.57	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	94eb70c9-f7bb-4ac1-8289-aad60dc47b58
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	3ADA96E3-3B7F-4C52-9355-1D7C3BCCE737
TCGA-A1-A0SH-01A	TCGA-A1-A0SH-01A-11X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	4A1EC595-0962-4F4B-B750-37C228E94641
TCGA-A1-A0SH-10A	TCGA-A1-A0SH-10A-03D	1.97	7.01	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	73d4c16a-a292-4fe4-8a07-55087ab9ab4b
TCGA-A1-A0SH-10A	TCGA-A1-A0SH-10A-03W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	83045B7C-C63A-4210-85C9-9EBDEE85BC88
TCGA-A1-A0SH-10A	TCGA-A1-A0SH-10A-03X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	E199A6F9-5388-4173-A63E-5F68B5444FFA
TCGA-A1-A0SI-01A	TCGA-A1-A0SI-01A-11D	1.97	43.80	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	78400566-c9b8-4ac0-935f-250e9d4d50ef
TCGA-A1-A0SI-01A	TCGA-A1-A0SI-01A-11R	2.04	50.53	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	5976bd0a-0ebc-4964-baf6-da45f32495b0
TCGA-A1-A0SI-01A	TCGA-A1-A0SI-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	75F9830C-9024-4DDE-B6A8-8246998C98D7
TCGA-A1-A0SI-10B	TCGA-A1-A0SI-10B-01D	1.91	17.76	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	86dfcfae-b106-414b-aa06-86b082fa4ca2
TCGA-A1-A0SI-10B	TCGA-A1-A0SI-10B-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	9B2A5BDA-1032-4540-B204-9F7E5D300382
TCGA-A1-A0SJ-01A	TCGA-A1-A0SJ-01A-11D	1.91	18.37	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	8d246b15-58e7-46a1-837f-44638003039f
TCGA-A1-A0SJ-01A	TCGA-A1-A0SJ-01A-11R	1.83	9.35	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	b9607098-5c8e-40e0-80cd-fd83c4014708
TCGA-A1-A0SJ-01A	TCGA-A1-A0SJ-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	56DE63EB-F022-49EB-B8B8-FF6700CB863C
TCGA-A1-A0SJ-01A	TCGA-A1-A0SJ-01A-11X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	6C6FBDB5-340D-4C7A-8551-E46205BB4781
TCGA-A1-A0SJ-10A	TCGA-A1-A0SJ-10A-02D	1.80	10.08	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	32309f55-7431-4251-bb2e-17948f802d62
TCGA-A1-A0SJ-10A	TCGA-A1-A0SJ-10A-02W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	77264CA9-FA75-48CC-A661-3967154CDEE4
TCGA-A1-A0SJ-10A	TCGA-A1-A0SJ-10A-02X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	6D74F175-0947-4AE0-BD2D-A0E9EBD5BDC1
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12D	1.95	52.30	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	79a7a0f3-1c75-4240-a3d7-c08b37713938
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12R	1.88	20.62	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	c03bd7ee-49c1-403b-9771-8002a16b84bc
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	9E057700-2738-42A3-9505-0CBF38635013
TCGA-A1-A0SK-01A	TCGA-A1-A0SK-01A-12X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	C172B0A4-9B40-418F-8DCD-0270CB47A497
TCGA-A1-A0SK-10A	TCGA-A1-A0SK-10A-03D	2.01	8.52	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	aaf9c14b-331c-4fff-b895-cf361d0a2c82
TCGA-A1-A0SK-10A	TCGA-A1-A0SK-10A-03W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	184925D6-D5D4-446C-9FAC-1AD22653138D
TCGA-A1-A0SK-10A	TCGA-A1-A0SK-10A-03X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	880C009C-D454-44AA-AD47-B000BF96C55D
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11D	1.88	61.59	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	2eed74a4-3547-4967-8ec2-00e6e3f36375
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11R	1.92	62.44	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	5dcf1897-430e-408a-a719-47cb5644e565
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	A884505D-CE14-46C6-879C-9B3214119E0D
TCGA-A1-A0SM-01A	TCGA-A1-A0SM-01A-11X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	F85C5A4F-F158-4872-92EC-8CB022D024BD
TCGA-A1-A0SM-10A	TCGA-A1-A0SM-10A-02D	2.00	12.32	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	a458bfe6-86a3-4640-96d0-05653c38829f
TCGA-A1-A0SM-10A	TCGA-A1-A0SM-10A-02W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	F932600D-B838-4A86-870D-F9B5FF075784
TCGA-A1-A0SM-10A	TCGA-A1-A0SM-10A-02X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	3D98B642-9494-49C0-B56F-D62A54255E03
TCGA-A1-A0SN-01A	TCGA-A1-A0SN-01A-11D	1.91	46.75	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	2ccafbff-f79a-455d-bc7a-148966b7fb2a
TCGA-A1-A0SN-01A	TCGA-A1-A0SN-01A-11R	1.86	22.16	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	8a5beba4-822e-4df8-be6e-6922b154f970
TCGA-A1-A0SN-01A	TCGA-A1-A0SN-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	82B94B66-4CDB-42F3-AF7B-8AFD06EDD24C
TCGA-A1-A0SN-10B	TCGA-A1-A0SN-10B-01D	1.91	14.78	DNA	0.18	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	8a110b31-3321-4abb-aaab-0d8746aba636
TCGA-A1-A0SN-10B	TCGA-A1-A0SN-10B-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	13D4258D-2E7E-4C19-A00F-8958FA82611F
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22D	1.98	63.33	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	3f2b246f-0351-4053-b1fd-6bd360006032
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22R	2.00	50.02	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	77a85a9c-36b7-4370-a780-adc1a037f8e7
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	FBA457B7-9A19-4EE4-9164-157DE871AB17
TCGA-A1-A0SO-01A	TCGA-A1-A0SO-01A-22X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	454254C0-4C01-41C0-9D2E-BE0C189BB01C
TCGA-A1-A0SO-10A	TCGA-A1-A0SO-10A-03D	2.00	12.02	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	cad635d3-83b9-4736-b7a8-9c56d43e89dc
TCGA-A1-A0SO-10A	TCGA-A1-A0SO-10A-03W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	4AF1690C-3043-4A21-AFEA-F49073CBFF4A
TCGA-A1-A0SO-10A	TCGA-A1-A0SO-10A-03X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	9C4BE33E-054C-4408-A922-99DEEB3E15FE
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11D	1.85	29.88	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	0e236344-639a-4ab3-ae3d-e58955b87266
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11R	1.87	8.40	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	6d369283-c9c7-422e-a9bd-da629e8b5952
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	560F28CB-5F74-400D-9D39-BDAA6480D56C
TCGA-A1-A0SP-01A	TCGA-A1-A0SP-01A-11X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	1AF07767-934E-4D61-B782-573CA4C3779D
TCGA-A1-A0SP-10A	TCGA-A1-A0SP-10A-02D	1.88	13.91	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	bf888b8d-3665-44ed-a3ab-026b8a642652
TCGA-A1-A0SP-10A	TCGA-A1-A0SP-10A-02W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	92C1DAFF-30E2-4ED2-B01F-DF240C2C7CD0
TCGA-A1-A0SP-10A	TCGA-A1-A0SP-10A-02X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	1C70A104-853C-4BDE-9FB1-76128B576190
TCGA-A1-A0SQ-01A	TCGA-A1-A0SQ-01A-21D	1.90	53.93	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	58738147-b8e8-4ff6-8d28-6ead1a6c6576
TCGA-A1-A0SQ-01A	TCGA-A1-A0SQ-01A-21R	1.85	38.92	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	4ddce6b8-ffe8-487f-a633-7efe6b81bcf4
TCGA-A1-A0SQ-01A	TCGA-A1-A0SQ-01A-21W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	71508547-4A80-4C69-8F31-1D3B74FA7CF3
TCGA-A1-A0SQ-10B	TCGA-A1-A0SQ-10B-01D	1.86	6.89	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	98c24eea-bb3c-4049-a831-78f025034db0
TCGA-A1-A0SQ-10B	TCGA-A1-A0SQ-10B-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	6E8DC6D7-A7D2-4706-84EB-E7A8CC7A364D
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11D	1.95	41.81	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	f4df2839-b5ae-47de-b468-894248cb9514
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11R	1.90	22.33	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	de9f5484-f1e3-4197-9bb2-7745488c6b07
TCGA-A2-A04N-01A	TCGA-A2-A04N-01A-11W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	681AE1F0-78A7-4546-96A2-E7E2DF956F93
TCGA-A2-A04N-10A	TCGA-A2-A04N-10A-01D	2.00	27.06	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	7c5818e6-1658-4228-8ece-a8cafbc5f085
TCGA-A2-A04N-10A	TCGA-A2-A04N-10A-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	3A73810D-0041-47D2-B0CC-64A5F107431B
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31D	2.03	66.09	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	9bf37855-8a3d-4f91-9d0d-9c5dd37a8b78
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31R	1.91	72.66	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	c5c036ed-9a39-48fa-86a6-41abfbf10d54
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	3FB9980C-FE35-4363-98BC-013C9B82B86F
TCGA-A2-A04P-01A	TCGA-A2-A04P-01A-31X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	1AE71EDC-1FF5-42E8-B24A-4D60A1C38CC7
TCGA-A2-A04P-10A	TCGA-A2-A04P-10A-01D	1.83	24.55	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	1fe4ee0e-9282-44c5-a5a2-f0f21b7c1feb
TCGA-A2-A04P-10A	TCGA-A2-A04P-10A-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	406244B6-49B3-4462-BD3A-02700BBE989F
TCGA-A2-A04P-10A	TCGA-A2-A04P-10A-01X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	AFC65DAA-9501-40DD-A77E-0C160EB32E8D
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21D	1.88	74.86	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	2bd584a2-952b-484e-88ba-476a1fce8a43
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21R	1.81	43.04	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	R	7e1a949e-672c-4c15-bb50-199e29ebcd01
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	A92B8801-7C87-41F6-9494-6E3BFABB0A03
TCGA-A2-A04Q-01A	TCGA-A2-A04Q-01A-21X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	E7BC4A18-A302-4674-9B61-2348D4DCE669
TCGA-A2-A04Q-10A	TCGA-A2-A04Q-10A-01D	1.71	24.95	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	ba0722bd-bd77-40e6-af87-ac6fcdd1ffc7
TCGA-A2-A04Q-10A	TCGA-A2-A04Q-10A-01W	[Not Available]	[Not Available]	Repli-G (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	W	BC6F27F1-2CB7-4F5B-A0DC-71B85F69A758
TCGA-A2-A04Q-10A	TCGA-A2-A04Q-10A-01X	[Not Available]	[Not Available]	Repli-G X (Qiagen) DNA	[Not Available]	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	X	38ED6D0A-A424-48C6-B232-0B0891E4F23C
TCGA-A2-A04R-01A	TCGA-A2-A04R-01A-41D	2.18	52.84	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	[Not Available]	[Not Available]	D	103cdd0e-1e03-401d-ade3-eb2ea6dde0d7
